Question,Answer
"Who has access to any portion of customer's data? Please outline the following: role, responsibilities, number of people in this position, and why they need access (specific names are not required).","Sync , ""Logitech employees can access customer data. Logitech limits the access controls to selected technical members administering and developing Sync service. Access to the customer database is granted by the management team to a small group of Sync developers who are responsible for supporting the service operations. Access rights are revised or revoked whenever there is a change of role. Limited customer data is shared with the product management team for marketing research, product planning, and customer follow up.

(Source: Sync SAQ)"""
"Is there a process implemented to ensure all violations, unauthorized access and anomalous activities are logged, monitored, reviewed and addressed in a timely manner?","Yes  , This is a question around disciplinary actions for what do we do... what is agreed upon with legal or the business? Where do we terminate ppl? that is a question for HR and Legal and specific to the product? Where corporate we have the Acceptable user policy that outlines at a hight level users must comply. "
 please describe the incident management process,"Logitech has an incident management process to handle security incidents. Once a security incident is identified, impacted customers will be notified of the incident details."
"If yes, what is the timeframe for addressing unauthorized access violation (e.g. < 48 hours)","Depending on the nature of the breach, actions taken by Logitech will vary."
Are there procedures to periodically audit who has access to customer  data / information?,No. Access to the customer database is granted by the management team to a small group of Sync developers who are responsible for supporting the service operations. Access rights are revised or revoked whenever there is a change of role.
Do you remove access from terminated employees or contractors within 24 hours of termination?,Yes
"For involuntary terminations, can you remove access immediately?",Yes
"Is any remote access allowed into the network that will process, store or view customer data / information?","Yes , Yes, Sync service is a cloud-based service"
"Are there formally documented policies and procedures for access control? If yes, please attach.","Yes , These policies and procedures are confidential and for internal use only. Logitech does not disclose externally."
"Do you have a process for managing accounts, including - creating, modifying, monitoring, and deleting/disabling accounts?",Yes
"Are accounts reviewed on a periodic basis?  If yes, include timeframe in comment.",Yes
"Have all guest, shared (other than Admin/Root), or group accounts been removed or disabled?",Yes
"Are account managers notified when accounts are no longer required, when users are terminated or transferred, or when individual access requirements change?",Yes
Is approval from an authorized signer required before provisioning accounts?,Yes
"Does the information system verify the rights of a user to access the information system? (Access Control Lists, Group/Role membership?) If yes, detail how the access is enforced in the comment.","Yes , Logitech uses a federated identity management system for all uses"
Does the information system support role-based account management and access controls (RBAC)?,Yes
"If RBAC is supported, can a customer administrator create/customize unique roles and permissions.",No
"Is the flow of sensitive information secured between interconnected systems? (Firewall rule sets - iptables, proxies, encrypted tunnels.)","Yes , All comm is iniyiated by the endpoint and is secured by TLS/HTTPS"
"Is separation of duties implemented? (E.g., Mission functions and support functions divided among personnel, different administrative accounts for different roles.)",Yes
"Is least privilege employed? (I.e., must administrators switch to the root or a separate administrator account to perform administrative functions/make system changes?)",Yes
"Is an account automatically locked out after a set amount of attempts? If yes, please provide the number of failed attempts that trigger an account to be locked out, in the comments section.",Yes
Is there a system use notification displayed before granting access that provides privacy and security notices?,No
Does the application/system terminate the session after predefined circumstances?,"Yes , All data is a pull from the endpoint"
Is protected health information identified as such with access only provided to authorized personnel?,N/A
Is remote access allowed from outside the network only through the use of the VPN client?,"No , Cloud Based Solution"
Are there established and documented usage restrictions for those connections?,N/A
Is remote access to the information system authorized prior to allowing such connections?,Yes
"Does the information system and/or associated device allow wireless access and only connect to secure networks? (Network access, Bluetooth, infrared, etc.)",N/A
"Can users or administrators connect using mobile devices (i.e. iPad, Smart Phone, PDAs)?","Yes , This is a cloud based service that uses HTTPS"
Are there established and documented usage restrictions for those connections?,No
Is remote access to the information system authorized prior to allowing such connections?,N/A
"Does the information system have any trust relationships with external environments?  (E.g., interconnection agreements with third parties.)","Yes , AWS"
"Are there established terms and conditions to access, process, store, or transmit organizational information using their systems?",Yes
Does the organization facilitate information sharing by enabling authorized users to determine whether access authorizations assigned to the sharing partner match the access restriction on the information for the user?,No
Is there any publicly accessible information?,N/A
Are designated individuals trained to post and review information on the publicly accessible site?,N/A
"Does the application/system use managed LDAP services for identification and authentication? If no, detail in the comment column what is used.",YES
"Are there formally documented policies and procedures for Identification and Authentication? If yes, please attach.",Yes
"Does the information system use multifactor authentication for privileged or non-privileged access? (Uses at least two of: what you have, what you know, what you are.  E.g., tokens, passwords, biometrics.)",Yes
"Does the information system uniquely identify and authenticate devices before establishing a connection? (E.g., MAC, TCP/IP, IEEE 802.1x)",Yes
Are the passwords encrypted within the information system when stored or transmitted?,Yes
Are factory default passwords changed once implemented into production? (Admin/root passwords.),Yes
Is the identity of the individual or device verified as part of the initial password distribution process?,Yes
Are there administrative procedures for initial password distribution and for revoking access?,Yes
Does the information system obscure the authenticator/password during the authentication process?,Yes
"Does the information system uniquely identify and authenticate non-organizational users (such as vendors)? (I.e., do the vendors have unique accounts instead of a shared account to gain access?)",Yes
Do you have proper change management controls in place?,Yes
"Do you ensure the separation of development, testing and operational environments?",Yes
"Is data-at-rest protected? If yes, how?","Yes , Product dependant"
"Is data-in-transit protected? If yes, how?","Yes , Product dependant"
Are information security related requirements considered when onboarding new information systems or enhancements to existing information systems?,Yes
Are controls in place for securing application services on public networks?,Yes
Are controls in place for securing application services transactions?,Yes
Is there a procedure mandating the implementation and assessment of security controls for any software or system development?,Yes
Is there a formal change control procedure?,Yes
"Is there a procedure to ensure a review is carried out when operating platforms are changed?
This review should assess risk and be technical in nature.",Yes
Is there a procedure in place which requires when and how software packages can be changed or modified?,Yes
Is there a procedure on detailing required security for systems?,Yes
Is there a secure development environment utilized by all projects during the system development life cycle?,Yes
"Is externally developed code supervised and subject to a security review?
The review needs to take place before the code moves into a production environment.",Yes
Is security tested as part of the development process for any system or applications?,Yes
"Is there a procedure to accept new systems, applications, or upgrades, into the production environment?",Yes
Is there a procedure for utilizing test data and making sure the data is suitable for the test?,Yes
Do you utilize production data in test/QV environments?,No
Do you perform security code reviews prior to implementation of new code into production?,Yes
Do you promote code to production if vulnerabilities are noted during code reviews?,No
Does the application change management/change control process include version control for all software?,Yes
Do you operate a shared or dedicated environment for this service?,Yes
"1. To the extent that the vendor employs in-house original code developers in the creation/maintenance of applications that transmit/house/process District data, identify who is responsible for security architect functions involving the requirements, design, coding, and testing of new/updated code:",Product Security Architect part of CTO team
"2. Identify the extent to which all original code developers within the vendor’s employ have received either formal or informal instruction regarding secure coding practices, such as those promulgated by OWASP or other standards-based entities:       ","Logitech conducts security testing by third-party
security consultants to identify vulnerabilities. Such
Static Application Security Testing (SAST), Dynamic
Application Security Testing (DAST), and cloud service
configuration assessment align with but are not limited
to, common security weaknesses as outlined in the
Open Web Application Security Project (OWASP) and
MITRE’s Common Weakness Enumeration(CWE). Should
any vulnerabilities appear within the context of testing,
Logitech will remediate all security issues as identified by
the vendor. While the third-party security assessment is
done on major releases, Logitech also runs in-house SAST
and DAST during development cycles."
"3. Identify the extent to which all new/updated original code that will be utilized to transmit/house/process District data is subjected to pre-production application-level vulnerability scanning (utilizing a commercial solution such as IBM’s AppScan, HP’s WebInspect, etc.) and/or active penetration testing – preferably by third party security vendors – prior to final deployment decisions:","Logitech conducts security testing by third-party
security consultants to identify vulnerabilities. Such
Static Application Security Testing (SAST), Dynamic
Application Security Testing (DAST), and cloud service
configuration assessment align with but are not limited
to, common security weaknesses as outlined in the
Open Web Application Security Project (OWASP) and
MITRE’s Common Weakness Enumeration(CWE). Should
any vulnerabilities appear within the context of testing,
Logitech will remediate all security issues as identified by
the vendor. While the third-party security assessment is
done on major releases, Logitech also runs in-house SAST
and DAST during development cycles."
"4. To the extent that the vendor relies upon third party code development vendors within this context, confirm that the vendor has undertaken review of questions (1-3) above with each of the outsourced vendors and has obtained satisfactory responses in all cases.","sync , Our development process ensures that no outdated versions of 3rd party dependencies/packages have been deployed to the cloud platform and also alerts if there are any reported vulnerabilities from the dependencies"
"5. Does the vendor software provide APIs, microservices or some other method of integration with other software systems to exchange data?","Sync , We provide an API for Logitech Sync, detailed developer API reference is available upon request"
"re any company functions, activities or services outsourced?",Yes  Github
 Is secure-SDLC implemented?,Yes
Please describe or provide documents about the secure-SDLC process:,This information is considered confidential and is not shared with external parties
 Is source code scanned by a static application security testing (SAST) tool for vulnerabilities before being deployed?,Yes
Are applications scanned with a dynamic application security testing (DAST) tool for vulnerabilities before being deployed?,Yes
How is the vendors  application separated from other customers that the ASP may have?,"Data segregation is technically achievable if Logitech decides to offer it as an infrastructure option to satisfy individual customer requirements. However, currently there is no such plan in our feature list. The service currently collects data about room activities and Logitech devices. The size of the data from each customer may not justify the cost to support data segregation. In addition, Logitech is confident that the current access controls are sufficient to protect each customer’s data."
"Please disclose if and where the application uses Java, JavaScript, ActiveX, PHP or ASP (active server page) technology","Sync , ""Sync Portal: VPC, CDN, AuthN/Z service,
NoSQL DB, FaaS and data streaming
services, encryption; primarily Javascript

Sync client: Primarily C++, encryption
"""
What information is stored in cookies?,Logitech Sync: Logitech doesn't save any sensitive information like credentials in Cookies
What is their expiration period?,Logitech Sync: N/A
"What language is the application back-end written in? (C, Perl, Python, Java, .NET etc.)","Sync Portal: VPC, CDN, AuthN/Z service,
NoSQL DB, FaaS and data streaming
services, encryption; primarily Javascript

Sync client: Primarily C++, encryption
"
"What frameworks (jQUERY, Spring, Node.js, etc.) used in the development of your applications?",Logitech Sync: Node.js
"Is sensitive data of any type (credit card number, account login, passwords, PII, PHI) stored in encrypted form?",yes
How is the data encrypted?,Encryption is built on AWS IoT. Encryption in transit: TLS 1.2 over port 443. Encryption at rest: RSA & SHA-256. End to End Encryption
Is sensitive information ever “in the clear” or unencrypted in logs or any other transient storage?,"All connections require authentication and encryption. When data is at rest in the cloud, it is also encrypted and protected by access controls. Currently firmware update request is still in unencrypted HTTP. It will be converted to HTTPS in near future."
Do you perform penetration and vulnerability assessments?,Yes
"If yes, describe what type of penetration and vulnerability testing is conducted.","Logitech hires third-party security vendors to conduct penetration tests on both client and server applications.

Logitech conducts black box manual and automated testing for vulnerabilities outlined in the Open Web Application Security Project (OWASP).
- Emphasized on authentication, authorization, protocol negotiation and encryption tests on internet connections, fuzzy testing on API requests, Man-in-Middle attacks, automated tools to scan common web server vulnerabilities. 

Logitech conducts black box manual and automated testing for vulnerabilities outlined on MITRE’s Common Weakness Enumeration (CWE).
- Emphasized on authentication, authorization, API interface security
- Code scanning for vulnerable dependencies
- Code and commands injections"
"If yes, provide details on how  penetration and vulnerability testing (internal, third party, or both) and frequency).",Third party. Logitech initiates penetration tests on major releases.
"If yes, when was the last penetration test conducted?","Rally Bar: Dec 4, 2020 Logitech Sync: June 2021"
"It is common for applications to utilize one or more service IDs and/or Tokens in order to access other systems, web services and/or databases.","Logitech Sync: Yes, the service components utilize separate tokens to access different component services"
Does the application use service IDs/tokens?,Yes
How often are service ID passwords/tokens rotated?,"Sync: Each token is session based and valid for a
maximum of 60 minutes. Once it expires, the
user has to refresh the access by providing
the credential again."
Who has access to these service IDs/tokens and are they managed through any type of system or tool?,"Logitech Sync: For user password and session tokens to access Sync service, they are all self-managed by a separate identity service. In the case of service-to-service credentials, the token is also assigned and managed by the service itself when receiving the requests."
"Does this solution introduce any hardware that will run on Customers network and/or facilities? If the answer is “yes”, please answer the questions below",Yes
Please provide an overview and detail the make/model/operating system and any/all pertinent security details of the hardware running in/on Kroger facilities and/or networks?,"Logitech Rally Bar, operating system - CollabOS (Logitech's proprietary Android 10-based operating system)

Sync service does not require any on-premise hardware. Rally Bar managed/monitored via the Sync cloud-based service"
"If you have a diagram of the solution, please provide.",Diagrams available of Logitech Sync environment and wiring diagram for Rally bar
"Who will be responsible for maintaining, patching, security updates, etc.?","Sync , AWS"
Who are the intended users of this application and how will they be authenticated?,"""Rally Bar: Company employees that need to make video calls with Microsoft Teams Rooms from the customer's conference spaces. Authentication in the Microsoft Teams Room application on Android with the room credentials (username/password) configured in the customer's MS Teams environment.

Sync: Customer's IT and/or AV team. Authentication via username/password (SSO support included)

(Source: Sync SAQ)"""
"If a Customer user will be authenticating to the solution, do you support SSO/Federated Identity via SAML 2.0?","Yes, Logitech Sync supports SSO that
can integrate with any ID providers that
use standard authentication protocols,
namely SAML and OpenID"
"If identification or authentication process fails, is an error/event logged?","No, except for room-based events, Sync service
has not explicitly deployed security logs
like audit logs (logon history, access denial
history, configuration changes, network
setting, etc.).
However, typical network connection and
protocol errors are recorded (for example,
4XX/5XX error codes, session disconnected/
terminated, and duplicated connections
from the same room)."
"If identification or authentication process fails, is a detailed message displayed to the user?","No, the text of the error message is: ""Email or password is incorrect. Please try again."
Do you have a well-defined and documented policy on the use of cryptographic controls?,"No, ""Logitech's Corporate IT: Yes, we use cryptographic controls in the Logitech company infrastructure.
Logitech Sync: Yes, built on AWS IoT. Encryption in transit: TLS 1.2 over port 443. Encryption at rest: RSA & SHA-256. End to End Encryption.
Logitech devices: Logitech devices use on-device encryption and TLS for network-based communication. For information on the use of cryptographic controls on computers running Microsoft Teams Rooms application, please refer to Microsoft documentation:"""
Do you have a well-defined and document policy on cryptographic key management?,No
"2. Identify each of the means that exist within vendor’s environment by which District-supplied data is encrypted while in-transit and/or at-rest (including, where possible, the names of the branded solutions being used and the size/strength of the encryption keys):","Sync , ""Sync’s backend service is
protected using the strongest standard AES-256 bit
encryptions inside the database. Also, the encryption
keys are further encrypted and centrally managed by
the AWS data services to safeguard customer data
from data breaches."""
What is the nature of the network connection from your organization to the customer and from the customer your organization? This could include using a private circuit or your organization uses the public internet for connectivity to customer using HTTPS (TLS 1.3) over port 443.,"Sync , Public internet with HTTPS, MQTT over TLS/SSL (TLS 1.2.), over port 443. For more details, please see Logitech Sync SAQ"
Is CUSTOMER data encrypted at rest in your environment?,"Sync , RSA & SHA-256"
When confidential data is hashed is the SHA2 algorithm used to generate that hash and are these hashes properly salted? (SHA1 and MD5 are no longer considered secure),"Sync , Yes"
"What encryption algorithms are used to encrypt data in flight to/from the internet (IPSEC, SSH, SSL/TLS – specifically what version of SSL/TLS)?","Sync , TLS 1.2 over port 443"
Do you have well-defined policies and procedures for managing information security and personal data incidents?,Yes
Has a process for reporting information security or personal data events been communicated to workforce personnel?,Yes
Has a process for reporting information security weaknesses been communicated to workforce personnel?,Yes
Do you have a process for assessing information security or personal data events and whether they should be classified as incidents?,Yes
"Do you have a process for responding to information security or personal data incidents?
e.g., collecting evidence, logging response activities, meeting legal and contractual obligations, etc.",Yes
"Do you evaluate information security incidents in order to learn from them and reduce the likelihood of similar future incidents?
e.g., through tracking metrics and identifying recurring incidents",Yes
Do you have well-defined and documented procedures for collecting evidence from information security or personal data incidents?,Yes
"Are resilience requirements to support delivery of critical services established for all operating states (e.g. under duress/attack, during recovery, normal operations)?",Yes
2. Identify the vendor’s capabilities associated with identifying and dealing with a potential data privacy breach that could involve unauthorized exposure of the District’s data while in the custody of vendor’s environment(s):,Logitech does not make its security testing or forensic processes publically available.
3. Identify the vendor’s access to skilled data forensics capabilities on either an in-house or external standby basis should the need ever arise:,Logitech does not make its security testing or forensic processes publically available.
4. Identify the vendor’s breach notification procedures and/or templates that are approved and ready for use in the event that the District’s data is subjected to an unauthorized data breach event:,Logitech does not make its security testing or forensic processes publically available.
"5. Within the past two years, identify any significant information security or privacy breach incidents that negatively impacted any of vendor’s clients – and briefly describe the efforts undertaken by vendor to address/resolve them and along with changes to the vendor’s information security/privacy practices designed to prevent recurrence.",None
 Do you inform the affected customers of a security incident/breach?,yes
 Do you share findings with customers if asked?,No
Has there been any system breaches within last 18 months?,No
"Are there formally documented policies and procedures for Incident Response? If yes, please attach.",Yes
Are staff provided with incident response training?,Yes
Is incident response training unique based on the role of the individual?,Yes
Are incident response tests conducted?,Yes
Are the incident response test results analyzed?,Yes
Is there an incident handling process,Yes
Are incident handling activities coordinated with contingency planning activities?,Yes
Are security incidents tracked and documented?,Yes
Are security incidents timely reported to appropriate personnel/ government authorities?,Yes
Are incident response resources used outside of the incident response team?,Yes
"Is there a comprehensive Incident Response Plan? If so, please attach.",Yes
Does the organization respond to information spillage appropriately and timely?,Yes
When was the last business resilience test completed?,5/16/2020
What were the results of the last resilience test?,Plan implemented and processes are identified - pandemic
"Can you share your Business Resiliency and Disaster Recovery Policy/Procedure? This should also include information on back-ups. In no, please explain","Logitech confidential policies and procedure, we do not share with anyone external. Strictly Internal use only. If the vendor does push back we are able to share  The Table of Contents and the Revision History of the Logitech Business Continuity Plan, Disaster Recovery Plan, and Backup Policy. Anything more than this will need Legal to authorize."
Are response and recovery plans tested?,Yes
Does your disaster recovery/business resiliency planning specifically address ransomware?,Yes
Have you identified and documented your organisation's requirements for information security continuity during adverse situations?,Yes
"Do you have well-defined and documented policies and procedures for information security continuity?
e.g., business continuity plans, disaster recovery plans, etc.",Yes
"Do you have a process for regularly verifying, reviewing and evaluating your information security continuity controls?",Yes
Do you have sufficient redundancies in place to ensure the availability of information processing facilities?,Yes
"1. Identify the architectural and branded solution-based capabilities by which the vendor has incorporated high-availability (e.g., HOT-HOT, HOT-WARM) technology solutions designed to ensure compliance with SLA terms that require real-time availability of services associated with the transmission/hosting/processing of District data:"," ""To ensure 24/7 service, Logitech Sync is designed
with fault-tolerant software architecture and
infrastructure for a highly available service. To
achieve High Availability (HA), computing resources
are highly scalable and load distributed. Current data
is hosted on servers on the US West Coast, and data
is continuously backed up within the data center. In
case of an emergency, Logitech Sync can recover at
any point and in any region without interruption of
service within the past 35 days."""
2. Identify the how vendor’s system availability architecture is based upon geographically diverse placement of nodes/domains constituting the mission-critical services involving District data:,"""N/A - Logitech sync systems are hosted under AWS - All resilience, DR follow AWS structures. 
All systems are hosted in the US AWS architecture"""
3. Identify the how the vendor performs regular disaster recovery plan testing involving the network/system assets that incorporate the transmission/hosting/processing of District data:,"""N/A - Logitech sync systems are hosted under AWS - All resilience, DR follow AWS structures. The entire service stack can be redeployed any time.
The data can be restored at any point of time from last 35 days and to different region. """
4. Identify the extent to which sufficient UPS and longer-term backup generator capacity exist at all vendor locations that incorporate the hosting/processing of District data:,N/A - Logitech sync systems are hosted under AWS - All resilience and support for backup power follow AWS structures. The operation of data center is handled and guaranteed by AWS. 
Do you have personnel that are responsible for Business Continuity Planning?,"Yes , dedicated BCP team "
Do you have an oversight program to ensure the quality of your business continuity plans?,Yes
"If yes, describe the oversight program including the plan review process.","Sync , For Logitech Sync: All backup snapshots are managed and stored on AWS cloud platform. Backup facilities are not accessible by customers. Backup snapshots are not accessible by customers. Sync service regularly backs up its database records for disaster recovery purposes. In case Sync service has been disrupted/ unavailable for some time, Sync client application will immediately populate its latest status to the cloud service once it becomes available in order to ensure all information and states are up to date."
What is the process for monitoring integrity and availability of the hosts?,"Sync , ""Sync’s computing environment runs in the
cloud as a platform as a service (PaaS). The
cloud provider scales and guarantees the
resource availability."""
"In the event of an incident or service failure, are clients, vendors & services prioritized?","Yes , """"""When a security vulnerability or issue is
found, it is prioritized based on the severity.
Any high severity issues like exposing user
data or privacy are handled immediately.

(Source: Sync SAQ)"""""""
Do you test your Business Continuity plans?,"Yes , Annually"
"Are there formally documented policies and procedures for Contingency Plan? If yes, please attach.",Yes
"Have you developed a contingency plan for this information system? If yes, please attach.",Yes
Does the contingency plan: Identify the essential missions and business functions,Yes
"Does the contingency plan : Provide recovery objectives, restoration priorities, and metrics",Yes
"Does the contingency plan:  Address contingency roles, responsibilities, and assigned individuals with contact information ",Yes
Does the contingency plan Address maintaining essential missions and business functions despite a disruption,Yes
Does the contingency plan Address full restoration without deterioration of originally implemented security safeguards,Yes
Does the contingency plan Distributed to key personnel,Yes
Does the contingency plan Coordinated with incident handling procedures,Yes
Does the contingency plan Reviewed and updated to address changes,Yes
Does the contingency plan Protected from unauthorized disclosure or modification,Yes
Does your department train personnel in their contingency roles and responsibilities and provide refresher training when required?,Yes
Do you test and/or exercise the contingency plan periodically to determine the plan’s effectiveness and review the contingency plan test results to initiate any needed corrective actions?,Yes
Has your department established an alternate storage site including necessary agreements to permit the storage and recovery of information system backup information?,Yes
Does the alternate storage site provide information security safeguards equivalent to that of the primary site?,Yes
Has your department established an alternate processing site to permit the resumption of information system operations for essential missions and business functions when the primary processing capabilities are unavailable?,Yes
Does the alternate processing site provide information security safeguards equivalent to that of the primary site?,Yes
"Are there alternate forms of telecommunication available should primary means (e.g. email, cellular phone) be unavailable?",Yes
"Is user-level information, system-level information, and information system documentation backed up?",Yes
"Is the confidentiality, integrity, and availability of backup information protected at the storage location?",Yes
"Is there recovery and reconstitution of the information system to a known state after a disruption, compromise, or failure?",Yes
"Do you maintain a shared mailbox to receive requests such as this one? If yes, what is the mailbox name?",No
"Do you maintain an external independent control evaluation such as a SOC, SSAE or Star report?",No
Do you follow any of these regulations or individual standards? (select all that apply),"GDPR, CCPA, Other (SOX)"
"Do you have a well-defined and documented corrective procedure for addressing 'nonconformities' with the ISO 27001 standard?
Nonconformities are typically identified during audits. Nonconformities identified during an external certification or surveillance audit are typically accompanied by deadlines for completing corrective actions, and in some cases a failure to correct a nonconformity can result in loss of certification. ",Yes
"Do you ensure, and document evidence of, the continual improvement of your information security program?",Yes
Are audits of information systems planned in a way that minimises distruptions to business processes?,Yes
Do you maintain current support and licensing for all hardware and software used to host Eaton's application and data?,Yes
Does the ISMS undergo independent reviews?,Yes
"Does the ISMS undergo regular management review, to ensure organisational compliance with information security policies and procedures?",Yes
"Do information systems undergo regular review for compliance with information security policies and procedures?
Please describe the measures taken.",Yes
"Identify each of the relevant certifications (and latest compliance dates) maintained by the vendor that speak to independent audit confirmation of the vendor’s security practices (examples include GDPR, PCI DSS/ASV, Sarbanes-Oxley, SAS 70/SSAE 16, HIPAA/HITECH, GLBA, etc.):","SOX 404 - 
Logitech are also are certified participants in the EU-U.S and Swiss-US Privacy Shield Framework. The Privacy Shield Frameworks were designed by the U.S. Department of Commerce, and the European Commission and Swiss Administration, respectively, to provide companies on both sides of the Atlantic with a mechanism to comply with data protection requirements when transferring personal data from the European Union and Switzerland to the United States in support of transatlantic commerce. "
" To the extent that the most recent audit reports identified in question (1) identified any unaddressed security gaps or issues, briefly summarize the steps that have been taken – or are still pending – to fully resolve them:",No security gaps identified in SOX testing 
" Beyond the scope of the formal audits identified in question (1), please summarize any ongoing security-related audit activities that are regularly performed by the vendor’s in-house security team or other third-party security firms – including the use of vulnerability scanning and/or penetration testing:","""Annual 3rd party cybersecurity audit, that performs pen tests. Externally, Sync cloud service procured 3rd party application security assessment tests covering dynamic test (DSAT), static analysis (SAST) and cloud security review.
Logitech also runs internal SAST and DSAT. """
" In the specific case where healthcare-related data is being managed by the vendor through the additional support of sub-contractors, identify the extent to which the vendor has obtained legally sufficient Business Associate agreements for each of the sub-contractors who will have potential access to PHI data:",N/A
"Which certifications or external audits has the environment holding customer data obtained? (SAS70, ISO 27001, PCI, SoX, etc…)?",SOX
"Which certifications or external audits has the environment holding customer data obtained? (SAS70, ISO 27001, PCI, SoX, etc…)?",SOX
Is customer data masked or obfuscated in the development and test environments?,"N/A , Logitech Sync: Logitech does not use customer's data in both development and test environments. The customer data is part of the production environment which is independent from other environment. They all have their own independent database."
"Are there formally documented audit and accountability procedures for this information system? If yes, please attach.",No
"Is the information system actively auditing events such as access to patient information, login/logoffs, account creation, etc.? If yes, please detail the events captured in the comment.","N/A , We do not access Patient information"
Are the audit logs captured sufficient for incident response and system and user performance/investigation?,Yes
Have you evaluated the audit storage capacity of this information system and determined that it is adequate?,N/A
"Do you have a well-defined and documented mobile device policy, combined with technical and organisational measures designed for mitigating risks associated with mobile devices?",Yes
"Do you have a well-defined and documented teleworking policy, combined with technical and organisational measures designed to mitigate the risks associated with teleworking?",Yes
Do you allow employees to bring their own device (BYOD) into the work place and connect to your network?,No
Do you have workstation time outs set up?,Yes
"Do you have controls in place to detect, prevent and recover from malware?",Yes
Is data destroyed according to policy?,Yes
Is removeable media protected and its use restricted according to policy?,Yes
Do all Windows based hosts have current and up to date anti-virus software installed?,Yes
What anti-virus tools do you utilize?,"MALWAREBYTES , Crowdstrike"
Does the company have standards or secure technical implementation guides (STIGs) for all utilized client OSes?,No
Check all topics that are covered by your client hardening and build standards: ( End user devices) ,"x	Disable or remove all “guest” and built-in support accounts								
o	Physically disable the use of USB ports for external media or other connectivity solutions								
x	Create accounts in AD rather than locally on the machine, if possible 								
x	Install anti-virus software and spyware 								
o	""Disable or remove all services and applications and network protocols not required for 
the specific function of the system""								
x	OS and software must be updated with latest patch in terms of security								
o	Configure log and audit								
o	Configure host-based firewall policy								
o	Setup the backup mechanism								
x	Securely configure VPN or other remote access clients								
o	Setup the software installation control								
x	Set up full disk encryption								
o	Other hardening and build procedures								"
Do you have a standard to update and install security patches for operating systems and applications on clients?,Yes
 How often do you install the updates and security patches routinely?,Monthly
Is there an emergency patch strategy if high risk security issues are found?,Yes
"Is there a centralized management tool for your clients, especially operating system?",No
 Is the use of external storage devices (such as USB mass storage devices) permissible on corporate infrastructure?,Yes
" If mobile devices are stolen or lost, can your company wipe them remotely?",Yes
"Do you restrict access to the Desktop systems (such as Administrative Access, USB, CDR/DVD)?",No
Are USB drives or other portable media encrypted?,No
What methods are used to “sanitize” storage devices before they are replaced or removed?,data wiped and destruction of hardware
"Do you allow laptops, tablets, smart phones or other portable devices on the network that will process, store or view Kroger data / information?","Yes, Sync "
Do you allow remote access to Kroger data / information from non-company owned assets?,No
Do you allow supervisory/admin functions to be performed over unencrypted external links?,"No , Sync    the client software always makes encrypted and authenticated connections (SSL/TLS) to the cloud service"
What operating systems are in place hosting customers application and data?,Product dependant. 
Are patch levels maintained on machines hosting Eaton data? Attach the patch management policy if different from the information security policy.,We have patch management cycles in place for our servers containing Logitech Sync customer data. We are very diligent applying security updates both to the operating systems and the applications that run on it.
How and to what extent has the hosts compromising the Eaton Corporation application infrastructure been hardened against attack?,"Logitech servers are hardened against attack, we follow the recognized NIST 800-53 and ISO 27001 guidelines as part of our security standards"
"Are network security controls in place?
If yes, please describe the person responsible for carrying out the included procedures.",Yes
"Do network services agreements include details on security mechanisms, service levels and management requirements?",Yes
"Do your networks segregate different groups of information services, users and systems?
e.g., through the use of separate network domains",Yes
"Are controls in place to protect electronic messaging? e.g., email, electronic data interchange, social networking, etc.",Yes
Are integrity checking mechanisms used to verify hardware integrity?,Yes
Is a baseline configuration of information technology/industrial control systems created and maintained incorporating security principles (e.g. concept of least functionality)?,Yes
Are all unnecessary/unused services uninstalled or disabled on all servers?,Yes
"Are vendor default passwords removed, disabled or changed prior to placing all devices or systems into production?",Yes
What type of multitenant isolation/segregation do you have in place?,"network segmentation, zones, policies in place"
"Identify how individual servers under vendor’s control are pre-hardened to minimize the presence of non-essential commands, data, and TCP/IP ports/services prior to their deployment and vendor hosting of District data:","N/A. there are no individual, or on-premise servers."
5. Identify branded solutions currently in use by the vendor that provide for effective anti-virus and malware prevention within the environment(s) that transmit/house District data:,"NA. Sync cloud service is built with serverless architecture. The security of the computing infrastructure is managed by the cloud platform provider, AWS"
6. Identify branded solutions currently in use by the vendor that provide for effective intrusion detection/prevention system (IDS/IPS) capabilities within the environment(s) that transmit/house District data:,"NA. Sync cloud service is built with serverless architecture. The security of the computing infrastructure is managed by the cloud platform provider, AWS"
"7. Identify any branded solutions in use by the vendor that provide for effective data loss prevention (DLP), security information event management (SIEM), distributed denial-of-service (DDoS) or any other types of advanced protection capabilities within the environment(s) that transmit/house District data:","Sync service deploys AWS CloudWatch metrics to observe the latency, performance and any anomaly on traffic."
8. Identify branded solutions currently in use by the vendor that provide for effective change management control and/or automated system patching capabilities within the environment(s) that transmit/house District data:,"Chef + git (Linux/Unix), Microsoft WSUS (Windows), Jenkins, and CloudFormation."
"9. Identify branded cloud-based solutions in use by the vendor and the extent to which the vendor can guarantee that District data is not stored, even temporarily, outside of United States borders.",Logitech Sync is hosted in the US instance of AWS. It does not move outside of the US locations. 
 Is an identity management mechanism in place for servers and applications?,yes
Please describe your identity management mechanism:,Logitech uses a Federated identity management system.
 Are firewalls used to restrict network access to application and system level services?,Yes
 Does the network have clearly defined risk levels including a DMZ? ,yes
 Is there network segmentation/isolation based on different trust and risk levels such as production network and corporate network?,yes
Is remote access to your company network permitted? ,yes
 How is access to VPN authenticated? Check all that apply,2FA token
