"Task","Status","Remediation Status","Score","Project","Org. Unit","Risk","Assignee","Reviewer","Approver","Due Date","Comments"
"91a) For end user devices, are Security configuration standards documented?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"91a1) All available high-risk security patches applied and verified at least monthly on all server platforms?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","Yes , Our development process ensures that no outdated versions of 3rd party dependencies/packages have been deployed to the cloud platform and also alerts if there are any reported vulnerabilities from the dependencies"
"91a2) Sufficient detail contained in Operating System and application logs to support incident investigation, including successful and failed login attempts and changes to sensitive configuration settings and files?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"91a3) Operating system and application logs relevant to supporting incident investigation protected against modification, deletion, and/or inappropriate access?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"91a4) Is there a mobile device management program in place that has been approved by management and communicated to appropriate constituents?","Submitted","","No","Level 1","chatbot v1","","chat bot","","","6/29/2022","This is incorrect , the answer should be Yes"
"94) Are staff allowed to utilize mobile devices within your environment?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","Yes , This is a cloud based service that uses HTTPS           !!!!!!!!!!!!!!!!!!"
"92a) Are staff allowed to utilize mobile devices within your environment to view scoped data?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","Yes , This is a cloud based service that uses HTTPS                 !!!!!!!!!!!!!!!!!!!!!!!"
"92b) Are staff allowed to utilize mobile devices within your environment to process scoped data?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","Yes , This is a cloud based service that uses HTTPS                        !!!!!!!!!!!!!!!!!!!!"
"92c) Are staff allowed to utilize mobile devices within your environment to delete scoped data?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","I missed what you said. What was that?"
"95) Is there a mobile device management program in place that has been approved by management and communicated to appropriate staff?","Submitted","","No","Level 1","chatbot v1","","chat bot","","","6/29/2022","This is an incorrect answer"
"96) Are staff technically prevented from accessing the administrative environment via non-managed private devices?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","What was that?                        !!!!!!!!!!!!!!"
"97) Are there external network connections (Internet, extranet, etc.)?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"98) Are there security and hardening standards for network devices, including Firewalls, Switches, Routers and Wireless Access Points (baseline configuration, patching, passwords, access control)?","Submitted","","No","Level 1","chatbot v1","","chat bot","","","6/29/2022","No, Logitech’s policies and procedures are confidential and for internal use only, it is not shared externally    !!!!!!!!!!!!!!!!!!"
"99) Are firewalls used to isolate critical and sensitive systems into network segments separate from network segments with less sensitive systems?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"100) Is there a process that requires security approval to allow external networks to connect to the company network, and enforces the least privilege necessary?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"101) Are all available high-risk security patches applied and verified at least monthly?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"102) Are Intrusion Detection/Prevention Systems employed in all sensitive network zones and wherever firewalls are enabled?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"103) Are wireless networking devices connected to networks containing scoped systems and data?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","Bot answered N/A"
"104) Are there controls to prevent one client attempting to compromise another client in a resource pooled environment?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","I didn't get that. Can you say it again?"
"105) Is Scoped Data transmitted, processed, or stored that can be classified as non-public information (NPI), personally identifiable information (PII), or sensitive customer financial information? If yes, describe and list types of data.","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","I didn't get that. Can you repeat?
"" when I just put PII in the question section I got the answer    Yes, Sync access user name and password"
"106) Do agreements with third parties who have access or potential access to Scoped Data, address confidentiality, audit, security, and privacy, including but not limited to incident response, ongoing monitoring, data sharing and secure disposal of...","Submitted","","No","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"107) Is a business associate contract in place to address obligations for the privacy and security requirements for the services provided?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"108) For Scoped Data, is personal information about individuals transmitted to or received from countries outside the United States? If yes, list the countries.","Submitted","","No","Level 1","chatbot v1","","chat bot","","","6/29/2022","currently this is not correct as SYNC data center location is in the US  !!!!!!!!!!!!!!!!!!"
"109) Is personal information transmitted, processed, stored, or disclosed to or retained by third parties? If yes, describe.","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","I didn't get that. Can you say it again?"
"110) Are transactions for covered accounts accessed, modified, or processed, including address changes and discrepancies? If yes, describe.","Submitted","","No","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"111) Is a Privacy Notice explaining the organization's privacy policies and practices available on the organization's
website? Provide the URL for the Privacy Notice by clicking ""Attachments/Comments,"" and either add comments or
attach documentation.","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","I didn't get that. Can you say it again?"
"112) Does the organization collect personal information directly from individuals on behalf of its customers?","Submitted","","No","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"113) Has the organization received complaints regarding uses of personal information or compliance with privacy
policies? Describe by clicking ""Attachments/Comments,"" and either add comments or attach documentation.","Submitted","","No","Level 1","chatbot v1","","chat bot","","","6/29/2022","No,Company Policies are confidential and for internal use only. We do not share with external parties.       Incorrect answer given !!!!!!!!!!!!!!!!!!!!!"
"114) Does your organization have cyber liability insurance to cover some or all of the costs associated with a databreach?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"115) Are controls in place to prevent unauthorized access to individuals' personal information that is no longer in
active use (e.g., archived media or paper-based records)?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"116) Are there systems and procedures in place to log and monitor employees' access to individuals' personal information?","Submitted","","No","Level 1","chatbot v1","","chat bot","","","6/29/2022","No. Access to the customer database is granted by the management team to a small group of Sync developers who are responsible for supporting the service operations. Access rights are revised or revoked whenever there is a change of role.                  !!!!! the answer should be yes , the content was correct !!!!!!!!!!!!!"
"Is personal data transferred from countries within the EU to areas outside of the EEA? If so, to which countries and what international transfer mechanisms are used for these transfer?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","US"
"Has your organisation appointed a Data Protection Officer or another person who is responsible for data protection compliance? If so, please provide their contract details.","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","Is this the head of Privacy ?"
"Do you have a process in place to ensure data subject rights requests (access, erasure, portability, rectification, object etc.) are fulfilled within one month of receiving the request?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","Can you say that again?"
"Is data protection training provided to all staff who handle personal data? If yes, please provide details on the topics and how often these trainings are conducted.","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","no comment"
"117) Is there an anti-malware policy or program that has been approved by management, communicated to appropriate staff and an owner to maintain and review the policy?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"109a) Is prohibition of disabling anti-malware with exceptions requiring Security approval and reenablement as soon as possible, in place?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","Yes ,MDM solution in placed        comment incorrect "
"118) Is there a vulnerability management policy or program that has been approved by management, communicated to appropriate staff and an owner assigned to maintain and review the policy?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"110a) Are vulnerability scans performed on all internet-facing applications at least monthly and after significant changes?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"110b) Are vulnerability scans performed against internal networks and systems?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"110c) Are penetration tests performed?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"110d) Are there processes to manage threat and vulnerability assessment tools and the data they collect?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"119) Are baseline hardened images used to build servers used for transmitting, processing or storing Scoped Data?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"120) Are systems and applications patched?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","Can you say that again? !!!!!!!!!!!!!!!!!!!!!!!"
"121) Are default hardened base virtual images applied to virtualized operating systems?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","Sorry, I didn't get that. Can you rephrase?"
"122) Are Hypervisors used to manage systems used to transmit, process or store Scoped Data?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"123) Is there a process for terminating relationships with customers?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"124) Does the contract with customers allow the organization to retain data belonging to the customer after contract expiration or if the customer otherwise chooses to terminate the relationship?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","What was that?"
"125) Does the organization include provisions in its service contracts regarding the process for returning or destroying customers' data upon termination of the contractual relationship?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
